"hotel_name";"food_type";"location";"rating";"delivery_time";"offer_percentage";"offer_upto"
"BOOM Sandwich - Sub of India";"Snacks, Indian, Desserts";"Kandivali East";"4.3 ";"13-23";"50";"100"
"7th Heaven";"Bakery, Desserts";"Malad Kan East";"3.8 ";"16";"50";"100"
"Itminaan Matka Biryani - Slow Cooked";"Biryani, North Indian, Mughlai";"Kandivali East";"4 ";"22-32";"60";"120"
"NOTO - Ice Creams & Desserts";"Ice Cream";"Kandivali East";"4.6 ";"15";"Not Available";"799"
"Moussestruck";"Ice Cream, Desserts, Sweets";"Kandivali West";"4.7 ";"25";"Not Available";"499"
"Surbhi Sweets And Snacks";"Sweets, Chaat, Snacks, Desserts, Beverages, Indian";"Dahisar East";"4.2 ";"24";"Not Available";"599"
"Tiffin Box";"Biryani, Beverages, North Eastern";"Malad Kan East";"Not Available";"27";"30";"75"
"Waffle Cart";"Desserts, Snacks, Thalis";"Borivali";"3.8 ";"30";"0";"Not Available"
"Madno - House of Sundaes";"Ice Cream, Beverages";"Thakur Village";"4.1 ";"26";"40";"80"
"Gourmet Ice Cream Cakes by Baskin Robbins";"Ice Cream Cakes, Desserts, Ice Cream, Bakery";"Malad Kan East";"4.3 ";"20";"20";"50"
"Jumboking Indian Burger";"American, Mexican, Fast Food, Snacks, Beverages";"Dahisar East";"4.5 ";"25";"Not Available";"449"
"Khana Khazana";"Indian, Chinese";"Borivali";"4.6 ";"32";"0";"Not Available"
"Tea Post";"Beverages";"Borivali West";"4.1 ";"36";"Not Available";"449"
"Pizza Hut";"Pizzas";"Kandivali East";"4.2 ";"28";"Not Available";"179"
"Momo Mia";"Chinese, Desserts, Pizzas, Burgers, Pastas, Italian";"Dheeraj Regancy";"2.3 ";"26";"50";"100"
"Hola Pasta - Fresh Gourmet Pasta";"Pastas, Italian, Desserts, Beverages";"Kandivali East";"3.4 ";"16-26";"Not Available";"149"
"Libon The Cake Expert";"Desserts";"Borivali";"4.2 ";"28";"Not Available";"449"
"New York Burrito Company";"Mexican, American, Continental, Snacks, Beverages, Desserts";"Kandivali West";"4.2 ";"32";"0";"Not Available"
"The Fresh Press";"Beverages, Juices";"Malad Kan East";"4.2 ";"39";"60";"120"
"Dairy Don";"Beverages, Desserts";"Borivali";"3.9 ";"26";"10";"600"
"McCafe by McDonald's";"American, Beverages, Desserts";"Kandivali East";"3 ";"30";"0";"Not Available"
"Bhagwati Pav Bhaji";"Street Food, Chinese, South Indian, North Indian";"Kandivali West";"4.1 ";"36";"Not Available";"499"
"Goragandhi Juice Corner & Veg World";"North Indian, South Indian, Chinese, Indian, Chaat, Fast Food, Maharashtrian, Pizzas, Juices, Mexican, Pastas";"Borivali West";"4.6 ";"34";"0";"Not Available"
"The Waffle Co.";"Desserts, Waffle";"Kandivali West";"4.4 ";"34";"0";"Not Available"
"99 Pancakes";"Desserts, Beverages";"Kandivali West";"4.6 ";"32";"Not Available";"449"
"IDC Kitchen";"South Indian";"Malad Kan East";"4.3 ";"36";"Not Available";"999"
"Burger Hub";"Burgers, Snacks, Chinese";"Borivali";"Not Available";"34";"0";"Not Available"
"Delights by INOX";"Snacks";"Kandivali East";"4.6 ";"18";"60";"120"
"GLOBO Ice Creams Of The World";"Ice Cream, Desserts, Bakery";"Kandivali East";"4.4 ";"7-17";"50";"100"
"Go Zero - Guilt Free Ice Creams";"Ice Cream, Desserts";"Kandivali East";"4.2 ";"14";"50";"100"
"The Momo Factory";"Tibetan, Chinese, Asian";"Kandivali East";"4.1 ";"27";"Not Available";"449"
"Food Adda";"Burgers, Pizzas, Fast Food, Beverages";"Borivali East";"4 ";"28";"50";"100"
"Bhatti Chicken - Grilled, NOT Fried!";"North Indian, Snacks, Fast Food, Tandoor";"Kandivali East";"4.2 ";"24-34";"50";"100"
"Mehfil by Behrouz";"Biryani, North Indian, Kebabs, Mughlai, Lucknowi, Hyderabadi, Desserts, Beverages";"Kandivali East";"4.4 ";"29";"40";"80"
"Tewari Brothers";"Snacks, Sweets, North Indian, Beverages, Desserts";"Borivali";"4.6 ";"33";"0";"Not Available"
"World Of Paratha";"North Indian, Beverages";"Borivali";"4.4 ";"33";"0";"Not Available"
"Bhagwati Veg Restaurant";"North Indian, Chinese, Biryani, South Indian";"Borivali West";"4.3 ";"35";"Not Available";"499"
"Kwality Walls Frozen Dessert and Ice Cream Shop";"Desserts, Ice Cream, Ice Cream Cakes";"Thakur Village";"4.8 ";"15";"50";"100"
"Anand Sweets & Savouries";"Sweets, Desserts";"Jog Gor East";"4.7 ";"40";"Not Available";"499"
"Myfroyoland - Premium Frozen Yogurt";"Desserts, Ice Cream, Healthy Food";"Borivali West";"4.4 ";"28";"10";"1500"
"Sweetish House Mafia";"Desserts";"Kandivali West";"4.2 ";"30";"30";"150"
"Natural Ice Cream";"Ice Cream, Desserts";"Avenue Hotel";"4.7 ";"21";"20";"Not Available"
"Chinese Wok";"Chinese, Asian, Tibetan, Desserts";"Kandivali East";"4.2 ";"21";"50";"100"
"The Belgian Waffle Co.";"Waffle, Desserts, Ice Cream";"Kandivali East";"4.5 ";"27";"20";"50"
"Ghar Ki Rasoi";"North Indian";"Malad Kan East";"Not Available";"32";"0";"Not Available"
"Mamledar Misal";"Maharashtrian, Street Food";"Borivali West";"4 ";"27";"Not Available";"749"
"Chaayos Chai+Snacks=Relax";"Bakery, Beverages, Chaat, Desserts, Home Food, Italian, Maharashtrian, Snacks, Street Food, Sweets";"kandivali east";"4.5 ";"18";"60";"120"
"The Good Bowl";"Biryani, North Indian, Pastas, Punjabi, Desserts, Beverages";"Kandivali East";"4.3 ";"24";"Not Available";"799"
"BOX8 - Desi Meals";"North Indian, Biryani, Thalis, Home Food";"Kandivali East";"4.4 ";"11-21";"50";"100"
"Behrouz Biryani";"Biryani, North Indian, Kebabs, Mughlai, Lucknowi, Hyderabadi, Desserts, Beverages";"Kandivali East";"4.2 ";"22";"60";"110"
"Faasos - Wraps, Rolls & Shawarma";"Kebabs, Fast Food, Snacks, North Indian, American, Healthy Food, Desserts, Beverages";"Kandivali East";"4.1 ";"26";"60";"110"
"LunchBox - Meals and Thalis";"Biryani, North Indian, Punjabi, Healthy Food, Desserts, Beverages";"Kandivali East";"4.3 ";"26";"Not Available";"159"
"Subway";"Salads, Snacks, Desserts, Beverages";"Kandivali East";"4 ";"26";"40";"80"
"Mohanlal S Mithaiwala";"Sweets, Desserts, Snacks";"Borivali";"4.9 ";"33";"0";"Not Available"
"Parsi Dairy Farm";"Indian";"Borivali";"4.6 ";"31";"0";"Not Available"
"Adarsh";"Snacks, Sweets, Bakery";"Borivali";"4.5 ";"31";"10";"1900"
"Mama Mia! - Italian Ice Creams & Cakes";"Bakery, Desserts, Ice Cream";"Borivali";"4.4 ";"27";"Not Available";"599"
"Trishiv Chinese Corner";"Chinese, Fast Food, Street Food, North Indian";"Borivali";"4.1 ";"34";"10";"1000"
"Baskin Robbins - Ice Cream Desserts";"Desserts";"Kandivali East";"4.6 ";"13";"30";"75"
"Wagh Bakri Tea Lounge";"Beverages, Snacks, Fast Food, Street Food, Desserts";"Borivali";"3.5 ";"39";"20";"700"
"Chitale Xpress";"Sweets, Desserts";"Borivali";"4.7 ";"28";"0";"Not Available"
"Cheesecakes By CakeZone";"Bakery, Desserts, Sweets, Beverages, Ice Cream, Juices, Bengali";"L T Road Junction";"4.4 ";"33";"Not Available";"699"
"Birdy's Cake Shop";"Desserts, Bakery";"Malad East";"4.1 ";"35";"0";"Not Available"
"Jeden-The Cake Expert";"Desserts, Bakery, Sweets";"Kandivali West";"4.3 ";"31";"Not Available";"599"
"Iceberg Organic Icecreams";"Ice Cream";"Borivali";"Not Available";"36";"Not Available";"299"
"Oven Story Pizza - Standout Toppings";"Pizzas, Pastas, Italian, Desserts, Beverages";"Kandivali East";"4.4 ";"23-32";"Not Available";"899"
"Ovenfresh Cakes And Desserts";"Bakery, Desserts, Beverages, Ice Cream, Sweets, Juices, Bengali, Pizzas";"Borivali";"4.1 ";"34";"Not Available";"399"
"Vadilal Ice Creams";"Ice Cream, Desserts";"Kandivali West";"4.1 ";"35";"Not Available";"399"
"Amore Gelato - Italian Ice Cream";"Ice Cream, Desserts";"Borivali";"4.4 ";"34";"0";"Not Available"
"Burger King";"Burgers, American";"Kandivali East";"4.3 ";"39";"60";"120"
"ITC Fabelle Chocolates";"Bakery, Desserts";"L T Road Junction";"4.7 ";"33";"25";"179"
"Mad Over Donuts";"Desserts, Sweets, Bakery";"Kandivali East";"4.6 ";"27";"50";"100"
"Frozen Bottle - Milkshakes, Desserts And Ice Cream";"Beverages, Desserts, Ice Cream, Waffle, Bakery, Healthy Food";"Kandivali East";"4.3 ";"15";"Not Available";"449"
"Gianis - Ice Cream, Shakes & Sundaes";"Ice Cream, Bakery, Beverages";"Malad Kan East";"4.6 ";"15";"0";"Not Available"
"Tibb's Frankie";"Snacks, Biryani, North Indian, Mexican, Beverages";"Kandivali East";"4.1 ";"23";"30";"75"
"The Biryani Life";"Biryani, Mughlai, Lucknowi, Hyderabadi, North Indian, Kebabs, Desserts, Beverages";"Kandivali East";"4 ";"25";"60";"110"
"Sweet Truth - Cake and Desserts";"Snacks, Bakery, Desserts, Beverages";"Kandivali East";"4.1 ";"20";"60";"110"
"Cafe Coffee Day";"Beverages, Cafe, Snacks, Desserts, Burgers, Ice Cream, Bakery, Fast Food";"Kandivali East";"4.3 ";"28";"Not Available";"159"
"Firangi Bake";"Pizzas, Pastas, Italian, Mexican, Healthy Food, Desserts, Beverages";"Kandivali East";"3.9 ";"30";"0";"Not Available"
"Apsara Ice Creams";"Ice Cream, Desserts";"Kandivali East";"4.7 ";"14";"0";"Not Available"
"Great Indian Khichdi by EatFit";"Home Food, Indian, North Indian, Healthy Food, Snacks, Desserts, Rajasthani, South Indian, Maharashtrian, Sweets";"Gorai Road";"4.3 ";"37";"Not Available";"159"
"Wendy's";"Burgers, American, Fast Food, Snacks, Beverages";"Jog Gor East";"4.2 ";"49";"Not Available";"129"
"Keventers - Milkshakes & Desserts";"Beverages, Ice Cream, Desserts, Healthy Food";"Kandivali West";"4.2 ";"29";"20";"120"
"Green Therapy Co.";"Healthy Food, Juices, Beverages";"Malad Kan East";"4.5 ";"38";"50";"100"
"FreshMenu";"Continental, Chinese, Oriental, Asian, Healthy Food, Fast Food, Indian, Desserts";"Goregaon East";"4.1 ";"49";"Not Available";"129"
"Lucky Restaurant (Since 1938)";"Biryani, North Indian, Chinese, Mughlai, Seafood, Desserts, Tandoor, Punjabi, Indian";"Goregaon East";"4.1 ";"40";"Not Available";"749"
"The Paratha House";"North Indian, Indian";"Malad Kan East";"4.1 ";"47";"50";"100"
"Rabdi Wala";"Desserts, Gujarati, Rajasthani, Snacks";"Borivali West";"4.2 ";"37";"0";"Not Available"
"Ladu Samrat";"Maharashtrian, Snacks, Street Food, Indian, Desserts, Chaat";"Kandivali East";"4.3 ";"43";"Not Available";"0"
"Greens Restaurant";"North Indian, Chinese, South Indian";"Malad West";"4.4 ";"54";"Not Available";"599"
"Chocolateria San Churro";"Desserts";"Borivali";"2.2 ";"39";"Not Available";"449"
"The Churro Co.";"Desserts, Beverages, Waffle";"Kandivali East";"4.1 ";"38";"Not Available";"999"
"The Dough Therapy";"Pizzas, Pastas, Italian";"Kandivali West";"4.1 ";"39";"Not Available";"799"
"Barbeque Nation";"North Indian, Barbecue, Biryani, Kebabs, Mughlai, Desserts";"Kandivali East";"4 ";"45";"40";"80"
"Aromas Cafe & Bistro";"Continental, Italian, Lebanese, Beverages";"Malad Kan East";"4.2 ";"50";"Not Available";"249"
"Chai Pe Charcha";"Beverages";"Kandivali West";"4 ";"40";"20";"100"
"Cremure";"Bakery, Desserts, Waffle, Beverages";"Malad West";"4.5 ";"38";"Not Available";"449"
"EatFit";"Chinese, Healthy Food, Tandoor, Pizzas, North Indian, Thalis, Biryani";"Gorai Road";"4.2 ";"39";"Not Available";"179"
"Biryani Can - Pure Veg Biryanis";"Biryani";"Kandivali West";"3.9 ";"37";"Not Available";"599"
"Cheelizza - India ka Pizza";"Pizzas, Italian, Fast Food";"Kandivali West";"4.2 ";"39";"Not Available";"699"
"Bake Ur Day - Freshest Cakes";"Desserts, Bakery, Cakes and Pastries, Beverages";"Borivali West";"3.7 ";"39";"Not Available";"449"
"Radha Krishna";"Indian";"Borivali";"3.8 ";"38";"0";"Not Available"
"Amar Juice Center";"Street Food, Beverages, South Indian";"Borivali West";"4.4 ";"37";"0";"Not Available"
"MM Mithaiwala";"Sweets, Snacks, Desserts, Beverages";"Malad West";"4.4 ";"42";"15";"800"
"Haldiram's Restaurant";"Snacks, South Indian, Desserts, Beverages";"Malad Kan East";"4.3 ";"38";"50";"100"
"Taco Bell";"Mexican";"Kandivali East";"4 ";"49";"50";"100"
"Wow! Momo";"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages";"Malad East";"4.1 ";"45";"Not Available";"599"
"Bangalore Iyangar's Bakery";"Bakery, Desserts, Snacks";"Kandivali West";"4.9 ";"47";"0";"Not Available"
"Dum Safar Biryani by Barbeque Nation";"Biryani, Kebabs, Tandoor, Indian, Desserts";"GROWELS MALL";"4.3 ";"48";"40";"80"
"Wow! China";"Tibetan, Healthy Food, Asian, Chinese, Snacks, Continental, Desserts, Beverages";"Akruli Road";"4.1 ";"43";"60";"120"
"Malgudi";"South Indian, Mangalorean, Andhra, Snacks, Healthy Food";"Kandivali East";"4.1 ";"37";"Not Available";"249"
"Oye Kiddan";"North Indian";"Borivali West";"3.9 ";"43";"Not Available";"449"
"Sbarro - New York Pizza";"Italian, Pizzas, Desserts, Beverages";"Kandivali East";"3.9 ";"38";"Not Available";"299"
"Cookie Man";"Desserts, Ice Cream, Bakery";"Kandivali East";"4.4 ";"37";"40";"80"
"Pop Tate's";"Continental, Italian, European, Mexican";"Kandivali East";"4.2 ";"37";"20";"50"
"Shiv Sagar";"Indian, Continental, Chinese";"Mahavir Nagar";"4.3 ";"38";"10";"600"
"Urban Tadka";"North Indian, Mughlai";"Kandivali East";"4.3 ";"43";"20";"50"
"Uncle's Kitchen (Since 1987)";"Chinese, Asian, Thai";"Malad West";"4.4 ";"42";"15";"1000"
"Bikaji Food Junxon";"Sweets, Snacks";"Malad West";"4.6 ";"46";"Not Available";"999"
"Rajubhai Dhoklawala";"Sweets, Desserts, Gujarati, Snacks";"Borivali";"4.5 ";"40";"0";"Not Available"
